Symbol,Data,Value
AAPL,2014-09-23,102.639999
AAPL,2014-09-24,101.750000
AAPL,2014-09-25,97.870003
AAPL,2014-09-26,100.750000
AAPL,2014-09-29,100.110001
AAPL,2014-09-30,100.750000
AAPL,2014-10-01,99.180000
AAPL,2014-10-02,99.900002
AAPL,2014-10-03,99.620003
AAPL,2014-10-06,99.620003
AAPL,2014-10-07,98.750000
AAPL,2014-10-08,100.800003
AAPL,2014-10-09,101.019997
AAPL,2014-10-10,100.730003
AAPL,2014-10-13,99.809998
AAPL,2014-10-14,98.750000
AAPL,2014-10-15,97.540001
AAPL,2014-10-16,96.260002
